id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,source,source_url
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.265953,9800308115,13,11968803632,411211596.0,0.276038,0.263103,-0.007607066133263507,-2.78076,-278603001.70196724,-2.76422,36846946339.91323,45000000000.0,45000000000.0,3.09,-91.38448,2021-09-02T06:00:10.474Z,0.01925275,1281.37901,2020-03-13T02:22:55.044Z,2026-03-19T22:47:49.869Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,39.37,9387883170,14,37895438841,432227525.0,42.19,38.77,-2.42542569797304,-5.80338,-569244758.1651592,-5.71696,238385315.9541414,962274028.9541414,1000000000.0,59.3,-33.61643,2025-09-18T03:30:30.650Z,3.81,933.61959,2024-11-29T09:30:30.871Z,2026-03-19T22:47:49.382Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,454.67,9097741436,15,9097872153,197498092.0,460.08,451.49,-1.1134938695216192,-0.2443,-18256078.005981445,-0.20026,20009634.27165078,20009921.77165078,21000000.0,3785.82,-87.99025,2017-12-20T00:00:00.000Z,76.93,490.97766,2018-12-16T00:00:00.000Z,2026-03-19T22:47:49.586Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.18,8453763523,16,9042662950,1370355.0,9.23,9.06,0.113503,1.25215,103822156.0,1.24339,921076216.9,985239504.0,,10.14,-9.30676,2025-03-10T09:26:43.294Z,0.799859,1049.18464,2019-12-24T15:14:35.376Z,2026-03-19T22:47:49.421Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,9.02,6389729353,17,9023767292,389711180.0,9.32,8.91,-0.17925996761351115,-1.94798,-125379643.6026783,-1.92444,708099970.4525867,1000000000.0,1000000000.0,52.7,-82.87719,2021-05-10T00:13:57.214Z,0.148183,5989.17641,2017-11-29T00:00:00.000Z,2026-03-19T22:47:49.744Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,338.63,6248921792,18,6248921792,78235582.0,349.69,336.6,-5.535526850346685,-1.6084,-98931241.98122025,-1.5585,18446744.07370955,18446744.07370955,,797.73,-57.55134,2026-01-14T19:34:07.049Z,0.216177,156543.976,2015-01-14T00:00:00.000Z,2026-03-19T22:47:49.452Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.99969,5923096089,19,5923096089,79974751.0,1.0,0.998931,0.00014833,0.01484,2990470.0,0.05051,5925000376.557542,5925000376.557542,,1.034,-3.32463,2025-12-09T17:10:12.652Z,0.929486,7.5483,2024-10-04T07:57:15.809Z,2026-03-19T22:47:49.494Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.144557,5504653358,20,5504653358,6885671.0,0.147059,0.144452,-0.001342495226068802,-0.92015,-51263126.79367924,-0.92268,38074529849.07894,38074529849.07894,,0.194152,-25.47502,2026-02-03T08:02:08.411Z,0.059024,145.13989,2025-12-06T10:32:09.784Z,2026-03-19T22:47:49.467Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.165148,5451468722,21,8257545686,87062337.0,0.170504,0.163664,-0.00432141359789609,-2.54996,-140633904.48209953,-2.51487,33010193056.55769,50001786883.65895,,0.875563,-81.11844,2018-01-03T00:00:00.000Z,0.00047612,34622.08481,2015-03-05T00:00:00.000Z,2026-03-19T22:47:49.652Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.998825,4452841309,22,4452841309,1675367666.0,0.999988,0.998579,-0.00025135202419746,-0.02516,-50424549.959695816,-1.11973,4457753170.103694,4457753170.103694,,1.025,-2.49617,2025-05-12T12:36:39.412Z,0.989633,0.97126,2025-10-01T08:51:32.103Z,2026-03-19T22:47:50.364Z,,,,crypto_top50,https://api.coingecko.com/api/v3/coins/markets
